Epoch,Avg_Update_Loss,Avg_Reward,Avg_Flow_Magnitude,Val_MIND,Total_Updates_This_Epoch,Current_Alpha,Avg_Critic_Loss,Avg_Actor_Loss,Avg_Alpha_Loss,Avg_Total_Coarse_Weight,Avg_Coarse_Reward,Avg_Fine_Reward,Avg Smooth Penalty,Avg Magnitude Penalty,Critic Learning Rate,Actor Learning Rate
1,27.97207392179049,93.71214148227696,0.6379549487217052,0.1288091205060482,13,0.9961097240447998,9.06874536550962,-0.2125943899154663,19.115922854496883,1.0,0.5781751720083727,0.721175596252218,0.2779717924627098,0.14973598107829825,2.28e-05,2.28e-05
2,28.922874246324813,71.31407807941909,0.6408310290929433,0.12878658697009088,14,0.9918930530548096,10.10713745015008,-0.22009052549089705,19.035827023642405,1.0,0.4668000186415943,0.7491119981080562,0.2788363045400327,0.15075018035398946,4.26e-05,4.26e-05
3,26.892197063991002,82.42680996589296,0.6424883072440689,0.12875958904623985,14,0.9877080917358398,8.143987485340663,-0.20081479315246856,18.949024268559047,1.0,0.52291614904597,0.7319397687106517,0.27939362582322713,0.15171579197720364,6.24e-05,6.24e-05
4,28.14235176358904,90.87641450601654,0.6455350679320258,0.12894733771681785,14,0.9835580587387085,9.502646803855896,-0.2176352526460375,18.857340335845947,1.0,0.5658307820558548,0.7236041906449172,0.28132821176503153,0.1525653661102862,8.219999999999999e-05,8.219999999999999e-05
5,26.67227690560477,75.77859624079218,0.6519634240382427,0.1300289586186409,14,0.9794421792030334,8.819895556994847,-0.23311020859650203,18.085491589137487,1.0,0.49236600710129413,0.7455668573443953,0.28445655751872706,0.15583191241498465,0.000102,0.000102
